,road,id,model_type,name,lat,lon,length,condition
1148,N1,101149,bridge,Gilatoli (1) Bridge,20.9045718551546,92.2780768381443,17.5,A
1149,N1,101150,link,Link,20.90413155953605,92.27838503556694,122.99999999999045,None
1150,N1,101151,bridge,Baroytoli Bridge,20.9036912639175,92.2786932329896,8.3,A
1151,N1,101152,link,Link,20.90344701885195,92.278868945621,72.00000000000273,None
1152,N1,101153,bridge,Baraytoli (3) Bridge,20.9032027737864,92.2790446582524,6.1,A
1153,N1,101154,link,Link,20.902543853291903,92.2794591239815,189.99999999999773,None
1154,N1,101155,bridge,Naiton Para(1) Bridge,20.9018849327974,92.2798735897106,23.0,A
1155,N1,101156,link,Link,20.89949189354155,92.2824671781886,816.0000000000309,None
1156,N1,101157,bridge,Naitom Para (2) Bridge,20.8970988542857,92.2850607666666,15.1,A
1157,N1,101158,link,Link,20.896094234285698,92.286506572619,385.99999999996726,None
1158,N1,101159,bridge,Naitong Para (3) Bridge,20.8950896142857,92.2879523785714,9.0,A
1159,N1,101160,link,Link,20.89368036416035,92.28946820595235,462.00000000004593,None
1160,N1,101161,bridge,Naitom Para(4) Bridge,20.892271114035,92.2909840333333,9.0,A
1161,N1,101162,link,Link,20.891214783297798,92.29335105669361,585.9999999999559,None
1162,N1,101163,bridge,TEKNAF NAITANG RCC GIDER BRIDGE,20.8901584525606,92.2957180800539,37.3,B
1163,N1,101164,link,Link,20.8873625883056,92.2972169845417,882.000000000005,None
1164,N1,101165,bridge,BUS STAND TEKNAF BOX CULVERT,20.8845667240506,92.2987158890295,1.5,A
1165,N1,101166,link,Link,20.8827759735102,92.29824664451475,432.00000000001637,None
1166,N1,101167,bridge,YAKNAT BRIDGE,20.8809852229698,92.2977774,35.9,C
1167,N1,101168,sink,"End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099.",20.8629167,92.298083,0.0,None
