BridgeID,12,13,14,15,16,17,18,19,20,21
100167,,,,,30798.611066614536,31206.64037972406,,,,31808.70957730351
100169,,31000.689849434915,31230.41721862784,,,,,,,
100171,29307.305922666223,,,31250.53592223606,,31424.738381247018,29251.224576908746,31047.768639914186,,32101.958256473543
100173,,77075.39667597103,,81020.62017710069,77459.1608613181,,74629.44481215192,77922.78707206358,77767.96888871198,
100175,,,,31971.526788902884,,31270.76969084619,29961.85886871473,,,31825.590282190875
100177,29297.663944377946,,,,30797.820248394815,,,,,
100179,,,31442.099247535767,32125.810042222285,31216.476855143057,31491.24392930182,29917.079319537046,,,32160.082006255197
100181,29488.73932349213,,,32100.56394645399,,,30143.529132440777,31462.187073733345,,
100183,29594.703150483834,31307.18181295249,,32089.251843940212,,31508.244065568077,,31396.98991256978,31453.21111929324,
100185,75202.3995670965,79431.6343103855,78840.90453875583,,,,76884.30435429626,,,
100189,,31550.75249905152,31558.279257606977,,,,30653.327094808235,31525.962104091916,,
100191,29909.02103459347,31834.854092057813,,,31216.947788272228,,,31769.59883126185,,
100193,,,,,,,30546.283767535366,31451.833999303853,,
100195,29889.566252744964,,,,31292.66515744318,,30464.202232902244,,31417.434858899283,32122.991093261367
100197,,,31560.485464403475,,,,,31890.445746303732,31702.056871513458,32218.10667135074
100199,30458.394130448323,31876.634187253698,31633.364292592585,,,,30706.828043975354,31857.288826246324,31190.367440900096,
100201,30525.0307322439,31978.33838169279,31793.495719364422,32290.06870865173,,,,,,32283.456864164047
100203,30287.789219579612,,,,,,30694.30593527789,,31475.139353453298,32458.59128938321
100205,,,,,,31914.79095329783,,,,
100207,30432.926732292508,32051.70777599817,,,,32098.89851251016,30730.51352121646,,,
100209,30576.789255305895,,,,,,30839.070765811397,31847.698990420013,,32445.715494923108
100211,,32164.821971459103,31906.18830525602,32236.492190146037,,,,,31687.021922754862,
100213,,,,32357.722882566228,,31632.58068493853,,31757.178306529597,,
100215,30423.505773113837,32188.635361850105,,,31389.53953583534,31953.447982597052,31305.092868199965,32007.833742995663,,
100217,30601.87125920523,32389.68676519468,,,31355.181053214397,,,,,32529.586116164744
100219,30707.04794169048,,31799.773941436248,,31785.14978535259,,,32325.791756864837,31535.438028845707,32801.75565356666
100221,30863.94769523613,,,32622.504605522437,31672.035496389777,32171.671766350766,31321.415447187796,32574.179598761555,31941.714334840606,
100223,,32495.115772745612,,32820.404457858116,31380.124075260563,31979.523079384104,31341.68686818358,,,
100225,,82714.0250934872,,82318.6305065832,79735.00721603916,82302.70124499811,79575.74679386817,,,81553.79187845143
100227,,32799.626095460684,,,,,,,31937.354819974746,32524.69828247244
100229,30953.794911295532,33099.191473002036,,,,,31452.654630584144,32312.71469886724,,
100231,78182.17550490951,,,82966.50172035555,80889.94582672972,,,,,83642.17376538058
100233,31480.121889231577,33002.85084583872,32184.991807179555,,32270.75550642483,32442.138594169766,,32344.512924817802,32195.485792673888,33037.71594276329
100235,31241.27079578804,,32568.1458397894,,,32465.983538224176,31637.238430379,32655.682770212345,32367.496034417592,33241.322802397146
100239,,,8463.61349794207,9513.32593871091,,9317.106248588021,8770.622967037638,,8994.286648914756,
100241,,25247.910930487335,21258.88505972268,24526.88382834321,,,,,22298.789893016066,24413.03746298328
100243,39120.260390221796,45700.07706604763,38773.60327300574,43869.56902284511,43210.554175626465,42205.67308899802,40155.49126945174,,,
100245,8708.900195453274,10288.450379184309,,9735.739774324034,9581.196858253024,9444.358746900287,,,9087.498359167392,9840.38625091215
100247,,46216.37999411729,39514.455792625355,,,43680.17422517553,40249.54175872152,,41985.46820334541,
100249,85650.45824421663,99498.36994661367,84412.26410220812,96057.5639531817,93662.76612737632,,84961.68815551965,,90119.68207120405,
100251,9190.338455486884,,,,9982.502292251143,,9281.065810562322,9480.579721498918,,9980.982431858847
100253,,10662.95181328443,,10050.732545158186,,,9316.988987223333,,9677.788537608716,
100255,9169.392985065053,10733.958525393553,,,,9563.349282762589,,9501.629658393947,,
100257,9232.604309184859,10707.305359237884,9341.097755731775,,,,,,,9979.843526963255
100259,9230.437071001965,,9319.180515116775,10049.511458529923,9967.199528915113,,9449.347965467765,9464.943688018264,,
100261,,10658.358350884988,9242.546567124975,,,,9452.540576160323,9452.551008234961,9642.17199643679,
100263,,10752.387008636464,,10099.896118058105,,9732.140560447717,,9632.559628627736,9697.287526247266,
100265,,10916.618019423131,,9933.609152301964,10018.003798953894,,,,,
100267,,,,10179.185273959785,,,,9709.050062719296,9741.186491933051,9834.21546889821
