,road,id,model_type,name,lat,lon,length,condition,chainage
249,N1,100250,link,Link,22.91233879727075,91.52760901926794,527.7349999999959,NaN,165.504
250,N1,100251,bridge,BUMGAT BOXCULVERT,22.9097128884012,91.5289285034482,6.1,A,165.825
251,N1,100252,link,Link,22.90697959196175,91.53027914053004,649.4500000000248,NaN,166.152
252,N1,100253,bridge,BOROYAR PARA SLUB CULVERT,22.9042462955223,91.5316297776119,3.0,A,166.479
253,N1,100254,link,Link,22.89794244776115,91.53355083880595,1480.9999999999804,NaN,167.221
254,N1,100255,bridge,BAROYARHAT BOX CULVERT,22.8916386,91.5354719,3.0,A,167.963
255,N1,100256,link,Link,22.883168647058802,91.5381777823529,1966.3499999999988,NaN,168.94799999999998
256,N1,100257,bridge,UTTOR SONAPAR BOX CULVERT,22.8746986941176,91.5408836647058,4.3,A,169.933
257,N1,100258,link,Link,22.873710364504802,91.54123977066226,237.85000000001386,NaN,170.05349999999999
258,N1,100259,bridge,CHAIRMEN BARI BOX CULVERT,22.872722034892,91.5415958766187,2.0,A,170.174
259,N1,100260,link,Link,22.87038920255235,91.5424461053306,549.2499999999877,NaN,170.4495
260,N1,100261,bridge,MADDAM SONAPAR(1) BOX CULVERT,22.8680563702127,91.5432963340425,1.5,A,170.725
261,N1,100262,link,Link,22.8645220287318,91.5442257528778,826.1000000000078,NaN,171.1395
262,N1,100263,bridge,DHARBAR TILA CULVERT,22.8609876872509,91.5451551717131,4.3,A,171.554
263,N1,100264,link,Link,22.860236237755,91.54531758524925,170.8500000000066,NaN,171.64100000000002
264,N1,100265,bridge,MADDUM SONAPHAR-3,22.8594847882591,91.5454799987854,2.0,A,171.728
265,N1,100266,link,Link,22.8577706777659,91.54559943484725,392.25000000000546,NaN,171.925
266,N1,100267,bridge,MAMAFOUN ASTANA CULVERT,22.8560565672727,91.5457188709091,1.5,A,172.122
267,N1,100268,link,Link,22.855602050008,91.5457705279324,106.49999999997567,NaN,172.176
268,N1,100269,bridge,MAMAFAKIR ASTANA SLAB CULVERT,22.8551475327433,91.5458221849557,1.5,A,172.23
269,N1,100270,link,Link,22.851882404606897,91.54609639836019,734.0000000000043,NaN,172.59949999999998
270,N1,100271,bridge,MASTANNAGOR BONCUL(1),22.8486172764705,91.5463706117647,8.5,A,172.969
271,N1,100272,link,Link,22.84700438297205,91.54691976640865,375.2500000000002,NaN,173.15949999999998
272,N1,100273,bridge,MUSTAU NOGAR(2),22.8453914894736,91.5474689210526,3.0,A,173.35
273,N1,100274,link,Link,22.8444233134868,91.5478092386513,232.75000000001364,NaN,173.4675
274,N1,100275,bridge,MASTARI HAGOR 3 CULVERT,22.8434551375,91.54814955625,1.5,A,173.585
275,N1,100276,link,Link,22.842274735463853,91.54847962571705,271.7500000000009,NaN,173.722
276,N1,100277,bridge,MUSTAN NAGAR -4,22.8410943334277,91.5488096951841,3.0,A,173.859
277,N1,100278,link,Link,22.8369205513348,91.5494565983209,941.9999999999932,NaN,174.3315
278,N1,100279,bridge,RAIPUR BOX CUL-1,22.8327467692419,91.5501035014577,3.0,A,174.804
279,N1,100280,link,Link,22.83185405572185,91.5503031780224,205.25000000000318,NaN,174.9085
280,N1,100281,bridge,RAIPUR (2) BOX CULVERT,22.8309613422018,91.5505028545871,4.5,A,175.013
281,N1,100282,link,Link,22.82766599999995,91.55159719999995,763.5499999999913,NaN,175.399
282,N1,100283,bridge,PURPU DURGAPURE BOX CUL,22.8243706577981,91.5526915454128,12.4,C,175.785
283,N1,100284,link,Link,22.817967047722547,91.55447387917695,1451.0500000000175,NaN,176.51600000000002
284,N1,100285,bridge,MUCHIPOOL CULVERT,22.811563437647,91.5562562129411,9.5,B,177.247
285,N1,100286,link,Link,22.802872394989798,91.55960873760645,2108.9999999999854,NaN,178.305
286,N1,100287,bridge,MIRSARAI BOX CUL,22.7941813523326,91.5629612622718,4.5,A,179.363
287,N1,100288,link,Link,22.78818912209185,91.56603191423446,1473.1499999999949,NaN,180.10649999999998
288,N1,100289,bridge,MIRAISORI BRIDGE,22.7821968918511,91.5691025661971,23.2,B,180.85
289,N1,100290,link,Link,22.77819699192555,91.5709881590985,960.3999999999943,NaN,181.33749999999998
290,N1,100291,bridge,Mirsorai(2) box culvert,22.774197092,91.5728737519999,6.0,A,181.825
291,N1,100292,link,Link,22.772224379049,91.57398213655429,485.1500000000234,NaN,182.07150000000001
292,N1,100293,bridge,IANAINIPOL BOX CULVERT.,22.770251666098,91.5750905211087,9.7,A,182.318
293,N1,100294,link,Link,22.766657178744353,91.57777220161395,971.1499999999802,NaN,182.80700000000002
294,N1,100295,bridge,BOKIMTOLA BOX CULVERT,22.7630626913907,91.5804538821192,4.0,A,183.296
295,N1,100296,link,Link,22.758314007951398,91.58452715288885,1349.550000000004,NaN,183.975
296,N1,100297,bridge,VARTAKA BOX CULVERT,22.7535653245121,91.5886004236585,12.9,A,184.654
297,N1,100298,link,Link,22.752102337040498,91.5897422303637,396.0499999999964,NaN,184.856
298,N1,100299,bridge,VARTAGIA BOX CULVERT,22.7506393495689,91.5908840370689,3.0,A,185.058
299,N1,100300,link,Link,22.7475765009563,91.59264196430266,778.4500000000203,NaN,185.45
300,N1,100301,bridge,BOTHAGIA (-3) BOX CULVERT,22.7445136523437,91.5943998915364,8.1,B,185.842
301,N1,100302,link,Link,22.73391520390835,91.5984165159908,2502.449999999981,NaN,187.096
302,N1,100303,bridge,NIAZAMPUR BOX CULVERT,22.723316755473,91.6024331404452,3.0,A,188.35
303,N1,100304,link,Link,22.7205705710057,91.6040977356072,704.9999999999984,NaN,188.704
304,N1,100305,bridge,MIRJAPUR BOX CULVERT,22.7178243865384,91.6057623307692,3.0,A,189.058
305,N1,100306,link,Link,22.71754756038455,91.60593540769224,69.00000000000273,NaN,189.094
306,N1,100307,bridge,MIRZAPUR (2) BOX CULVERT,22.7172707342307,91.6061084846153,3.0,A,189.13
307,N1,100308,link,Link,22.71557173625595,91.6071718532451,438.90000000001703,NaN,189.35500000000002
308,N1,100309,bridge,ISAMATI BOX CULVERT,22.7138727382812,91.6082352218749,19.2,C,189.58
309,N1,100310,link,Link,22.7078446211091,91.61160434138361,1507.799999999987,NaN,190.3435
310,N1,100311,bridge,DUKHIN UTHPAR BOX CULVERT,22.701816503937,91.6149734608923,19.2,A,191.107
311,N1,100312,link,Link,22.6965341093759,91.61757125914986,1289.299999999988,NaN,191.7575
312,N1,100313,bridge,VANGGARPOL BOX CULVERT,22.6912517148148,91.6201690574074,4.2,A,192.408
313,N1,100314,link,Link,22.6890607397603,91.62110381988015,538.3000000000015,NaN,192.67899999999997
314,N1,100315,bridge,BORO KAMALDA BOX CULVERT,22.6868697647058,91.6220385823529,3.2,A,192.95
315,N1,100316,link,Link,22.6819235319051,91.624427763863,1194.4000000000124,NaN,193.5495
316,N1,100317,bridge,TARAT BOX CULVERT,22.6769772991044,91.6268169453731,6.0,A,194.149
317,N1,100318,link,Link,22.6734683691174,91.62808505746915,844.4999999999895,NaN,194.5735
318,N1,100319,bridge,Tarial Bazar Culvert,22.6699594391304,91.6293531695652,3.0,A,194.998
319,N1,100320,link,Link,22.66787166861925,91.63024126383665,500.0000000000143,NaN,195.2495
320,N1,100321,bridge,MIRJA PUR (3) BOX CULVERT,22.6657838981081,91.6311293581081,3.0,A,195.501
321,N1,100322,link,Link,22.663689789794752,91.63232755035034,534.0000000000061,NaN,195.7695
322,N1,100323,bridge,SATU DURUAR HAT BOX CULVERT,22.6615956814814,91.6335257425926,3.0,A,196.038
323,N1,100324,link,Link,22.658154055446552,91.63572595953156,883.9500000000005,NaN,196.4815
324,N1,100325,bridge,RONA SORA CULVERT,22.6547124294117,91.6379261764705,3.1,A,196.925
325,N1,100326,link,Link,22.6528916920781,91.6389801479676,461.14999999997497,NaN,197.1575
326,N1,100327,bridge,NUNA CHARA BOX CULVERT,22.6510709547445,91.6400341194647,4.6,A,197.39
327,N1,100328,link,Link,22.649263532987803,91.64097561826365,447.5000000000173,NaN,197.618
328,N1,100329,bridge,BOTTOL BOX CULVERT,22.6474561112311,91.6419171170626,12.4,A,197.846
329,N1,100330,link,Link,22.641776351098052,91.6450631788598,1425.2999999999927,NaN,198.5625
330,N1,100331,bridge,KACHAI PATH BOX CULVERT,22.636096590965,91.648209240657,3.0,A,199.279
331,N1,100332,link,Link,22.635212581416752,91.64870848362415,220.0000000000132,NaN,199.3905
332,N1,100333,bridge,KACHAI POTTI BOX CULVERT,22.6343285718685,91.6492077265913,3.0,A,199.502
333,N1,100334,link,Link,22.6312476035813,91.65098277621125,771.9999999999773,NaN,199.8895
334,N1,100335,bridge,EGOL PUR BOX CULVERT,22.6281666352941,91.6527578258312,3.0,A,200.277
335,N1,100336,link,Link,22.6269994863217,91.65347179062644,293.4500000000018,NaN,200.426
336,N1,100337,bridge,UTTOR SITAKONDO BAZAR BOX CULVERT,22.6258323373493,91.6541857554217,6.1,B,200.575
337,N1,100338,link,Link,22.624439254260203,91.6548265042874,338.4500000000177,NaN,200.7465
338,N1,100339,bridge,SITAKUNDA SLAB,22.6230461711711,91.6554672531531,3.0,A,200.918
339,N1,100340,link,Link,22.620401260091448,91.6567630985133,599.0000000000039,NaN,201.219
340,N1,100341,bridge,MOHADAB PUR BOX CULVERT,22.6177563490118,91.6580589438735,3.0,A,201.52
341,N1,100342,link,Link,22.6163731588196,91.65916299710014,475.199999999985,NaN,201.7595
