road,id,model_type,name,lat,lon,length,condition
N1,100252,bridge,Bridge start,21.1925552,92.1697216,0.04200000000003001,
N1,100253,link,Bridge end,21.1923052,92.1695271,1.2040000000000077,
N1,100254,bridge,Bridge start,21.1859441,92.1610833,0.022999999999967713,A
N1,100255,link,Bridge end,21.185833,92.1609167,1.9909999999999854,
N1,100256,bridge,Bridge start,21.1698049,92.1545833,0.04800000000000182,C
N1,100257,link,Bridge end,21.1694993,92.1543056,0.5830000000000268,
N1,100258,bridge,Bridge start,21.1652222,92.1521667,0.031999999999982265,
N1,100259,link,Bridge end,21.1649444,92.1521944,2.61099999999999,
N1,100260,bridge,Bridge start,21.1442774,92.1586389,0.019000000000005457,A
N1,100261,link,Bridge end,21.1441663,92.1586944,0.32900000000000773,
N1,100262,bridge,Bridge start,21.1414997,92.1599167,0.06099999999997863,
N1,100263,link,Bridge end,21.1410552,92.1602222,1.5640000000000214,
N1,100264,bridge,Bridge start,21.1368886,92.173916,0.03000000000002956,
N1,100265,link,Bridge end,21.1367219,92.1741382,0.8669999999999618,
N1,100266,bridge,Bridge start,21.1333886,92.1806938,0.016999999999995907,
N1,100267,link,Bridge end,21.1333608,92.1808327,2.886000000000024,
N1,100268,bridge,Bridge start,21.1151667,92.1975552,0.07799999999997453,
N1,100269,link,Bridge end,21.1146111,92.1979719,2.9320000000000164,
N1,100270,bridge,Bridge start,21.0939441,92.2118611,0.036000000000001364,
N1,100271,link,Bridge end,21.0936663,92.2119444,4.358000000000004,
N1,100272,bridge,Bridge start,21.0597778,92.2263882,0.014999999999986358,
N1,100273,link,Bridge end,21.0596667,92.2263882,1.174000000000035,
N1,100274,bridge,Bridge start,21.0513611,92.2302493,0.03799999999995407,
N1,100275,link,Bridge end,21.0513611,92.2305827,2.111000000000047,
N1,100276,bridge,Bridge start,21.0363608,92.2396941,0.04099999999999682,
N1,100277,link,Bridge end,21.0360552,92.2398608,1.5139999999999532,
N1,100278,bridge,Bridge start,21.0228882,92.2420274,0.03500000000002501,A
N1,100279,link,Bridge end,21.0226104,92.2420552,3.031000000000006,
N1,100280,bridge,Bridge start,20.9990274,92.2537778,0.05000000000001137,B
N1,100281,link,Bridge end,20.9986386,92.2538889,2.447999999999979,
N1,100282,bridge,Bridge start,20.9778049,92.25075,0.031999999999982265,B
N1,100283,link,Bridge end,20.9775827,92.2506111,1.2300000000000182,
N1,100284,bridge,Bridge start,20.9673604,92.2491663,0.04200000000003001,A
N1,100285,link,Bridge end,20.9671104,92.2494441,0.6599999999999682,
N1,100286,bridge,Bridge start,20.9622778,92.2528889,0.03100000000000591,
N1,100287,link,Bridge end,20.9620556,92.2530556,1.7069999999999936,
N1,100288,bridge,Bridge start,20.9482774,92.2589167,0.04599999999999227,A
N1,100289,link,Bridge end,20.9481386,92.2593056,1.367999999999995,
N1,100290,bridge,Bridge start,20.9373886,92.2623333,0.040000000000020464,
N1,100291,link,Bridge end,20.9371108,92.2624722,0.8650000000000091,
N1,100292,bridge,Bridge start,20.929666,92.2641111,0.03699999999997772,
N1,100293,link,Bridge end,20.9293327,92.2641389,0.6370000000000005,
N1,100294,bridge,Bridge start,20.9238882,92.2653889,0.05099999999998772,
N1,100295,link,Bridge end,20.9234993,92.2656111,0.5300000000000296,
N1,100296,bridge,Bridge start,20.9195827,92.268416,0.016999999999995907,
N1,100297,link,Bridge end,20.9194993,92.2684716,0.4800000000000182,
N1,100298,bridge,Bridge start,20.9157222,92.2704993,0.03799999999995407,
N1,100299,link,Bridge end,20.9154167,92.2706938,0.9050000000000296,
N1,100300,bridge,Bridge start,20.9088889,92.275166,0.047000000000025466,
N1,100301,link,Bridge end,20.9085556,92.2753604,1.1319999999999482,
N1,100302,bridge,Bridge start,20.9003333,92.2807216,0.036000000000001364,
N1,100303,link,Bridge end,20.9001111,92.2809716,0.27700000000004366,
N1,100304,bridge,Bridge start,20.8984719,92.2828604,0.04699999999996862,
N1,100305,link,Bridge end,20.8982219,92.283166,0.30000000000001137,
N1,100306,bridge,Bridge start,20.8969163,92.2854441,0.03300000000001546,
N1,100307,link,Bridge end,20.8967774,92.2857219,0.45299999999997453,
N1,100308,bridge,Bridge start,20.894083,92.2887774,0.02400000000000091,
N1,100309,link,Bridge end,20.8939441,92.2889163,0.3760000000000332,
N1,100310,bridge,Bridge start,20.8919163,92.2916663,0.01999999999998181,
N1,100311,link,Bridge end,20.8918886,92.2918052,0.7980000000000018,
N1,100312,bridge,Bridge start,20.8889163,92.2982497,0.014999999999986358,
N1,100313,link,Bridge end,20.888833,92.2983886,1.4590000000000032,
N1,100314,bridge,Bridge start,20.8768604,92.2978886,0.043000000000006366,
N1,100315,link,Bridge end,20.8764993,92.2978886,1.2719999999999914,
N1,100316,bridge,Bridge start,20.8650278,92.2982497,0.04200000000003001,
N1,100317,link,Bridge end,20.8646667,92.2981941,0.3079999999999927,
N1,100318,sink,"End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099.",20.8629167,92.298083,0.0,
